year	pages	words
1783	206	31959
1748	407	92221
1765	16	1676
1705	30	3925
1756	81	21112
	584	128337
1715	221	47074
1706	28	3395
1752	370	132905
1753	591	395616
1752	383	134582
1756	240	63962
	26	3144
1723	97	33177
	225	33711
	235	30686
1715	127	23882
1754	229	55058
1706	27	3298
1781	344	57020
	253	63061
1772	205	29345
1796	291	44994
1796	251	38682
	1	1568
1771	30	1230
	2	393
1753	29	4419
	198	38526
	394	119124
1790	70	16191
1795	228	74982
1795	219	69484
	8	2576
1757	248	72321
	24	5628
	84	12280
	196	49642
	548	218719
	406	150446
	247	50270
1778	1057	1242009
1744	193	41009
	144	35546
	178	22605
	226	45968
	118	20609
	92	20130
	156	23243
	226	52439
1800	144	36253
	191	54363
	40	8664
1760	401	131322
1766	587	112125
	157	40475
1766	626	149806
1800	250	88641
1796	116	32674
	273	104934
	112	32378
	278	74886
	274	89154
1782	282	34934
1792	340	130064
	279	90586
1755	314	105946
	190	56149
1799	238	43314
1772	264	57280
1755	326	124901
1776	263	52560
1773	299	90095
1766	351	113134
1766	298	85134
1776	223	42964
1720	284	50406
1766	329	119765
1712	219	35963
1788	278	32516
1748	391	79542
1800	235	94873
	498	74671
1776	359	112282
1761	323	96644
1777	206	49043
1735	515	185938
1783	26	2295
1761	513	159759
1765	679	320136
1770	436	154167
1750	514	165084
1783	24	3190
1764	231	34179
1777	386	84587
	240	90865
1758	40	8262
1800	205	60129
	102	27483
1796	193	37735
1769	506	258051
	368	182715
1797	1017	753584
1768	416	126043
1759	557	234287
1768	394	118821
1790	48	14188
1746	16	5346
